LSOA,ADcompliance_non_compliant_count,Adcompliance_compliant_count
E01011372,1,2
E01011662,0,0
E01011368,1,1
E01011363,19,10
E01011625,2,0
E01011427,2,0
E01033021,1,1
E01011726,0,1
E01011448,2,1
E01011341,21,12
E01011319,2,0
E01011597,4,6
E01011267,3,1
E01011477,4,3
E01032489,0,0
E01011287,4,4
E01011388,0,2
E01011651,0,2
E01011445,0,0
E01011383,1,0
E01011329,0,1
E01011642,0,0
E01032496,3,0
E01033015,9,6
E01011605,0,0
E01011694,3,0
E01011522,3,1
E01011397,0,1
E01011353,0,0
E01011271,1,0
