,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,Index of Multiple Deprivation Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60+,WorkPop,priority_places_for_food_oct22_domain_supermarket_proximity,priority_places_for_food_oct22_domain_supermarket_accessibility,priority_places_for_food_oct22_domain_ecommerce_access,priority_places_for_food_oct22_domain_socio_demographic,priority_places_for_food_oct22_domain_nonsupermarket_proximity,priority_places_for_food_oct22_domain_food_for_families,priority_places_for_food_oct22_domain_fuel_poverty,priority_places_for_food_oct22_country,priority_places_for_food_oct22_country_denominator,priority_places_for_food_oct22_combined,Priority Places for Food Index: Supermarket proximity decile,Priority Places for Food Index: Supermarket accessibility decile,Priority Places for Food Index: Online supermarket delivery access decile,Priority Places for Food Index: Socio-demographic determinants of food insecurity decile,Priority Places for Food Index: Non-supermarket food retail proximity decile,Priority Places for Food Index: Need for further food support decile,Priority Places for Food Index: Fuel poverty decile,Priority Places for Food Index: Overall decile,AHAH_V3_0_ah3gp,AHAH_V3_0_ah3dent,AHAH_V3_0_ah3phar,AHAH_V3_0_ah3hosp,AHAH_V3_0_ah3blue,AHAH_V3_0_ah3gpas,AHAH_V3_0_ah3ffood,AHAH_V3_0_ah3gamb,AHAH_V3_0_ah3leis,AHAH_V3_0_ah3pubs,AHAH_V3_0_ah3tob,AHAH_V3_0_ah3no2,AHAH_V3_0_ah3so2,AHAH_V3_0_ah3pm10,AHAH_V3_0_ah3gp_rnk,AHAH_V3_0_ah3dent_rnk,AHAH_V3_0_ah3phar_rnk,AHAH_V3_0_ah3hosp_rnk,AHAH_V3_0_ah3leis_rnk,AHAH_V3_0_ah3gpas_rnk,AHAH_V3_0_ah3blue_rnk,AHAH_V3_0_ah3no2_rnk,AHAH_V3_0_ah3so2_rnk,AHAH_V3_0_ah3pm10_rnk,AHAH_V3_0_ah3gamb_rnk,AHAH_V3_0_ah3pubs_rnk,AHAH_V3_0_ah3tob_rnk,AHAH_V3_0_ah3ffood_rnk,AHAH_V3_0_ah3gp_pct,AHAH_V3_0_ah3dent_pct,AHAH_V3_0_ah3phar_pct,AHAH_V3_0_ah3hosp_pct,AHAH_V3_0_ah3leis_pct,AHAH_V3_0_ah3gpas_pct,AHAH_V3_0_ah3blue_pct,AHAH_V3_0_ah3no2_pct,AHAH_V3_0_ah3so2_pct,AHAH_V3_0_ah3pm10_pct,AHAH_V3_0_ah3gamb_pct,AHAH_V3_0_ah3pubs_pct,AHAH_V3_0_ah3tob_pct,AHAH_V3_0_ah3ffood_pct,AHAH_V3_0_ah3h,AHAH_V3_0_ah3g,AHAH_V3_0_ah3e,AHAH_V3_0_ah3r,AHAH_V3_0_ah3h_rnk,AHAH_V3_0_ah3g_rnk,AHAH_V3_0_ah3e_rnk,AHAH_V3_0_ah3r_rnk,AHAH_V3_0_ah3h_pct,AHAH_V3_0_ah3g_pct,AHAH_V3_0_ah3e_pct,AHAH_V3_0_ah3r_pct,AHAH_V3_0_ah3ahah,AHAH_V3_0_ah3ahah_rn,AHAH_V3_0_ah3ahah_pc,LSOA,Researcher initials (first),Coder initials (first),Date of data coding,Number of Images taken in the LSOA,Number of unique images taken in the LSOA,Number of dates photos taken across LSOA,Number of unique adverts in the LSOA,Number of unique advertising assets in the LSOA,Most common Advertising asset type in the LSOA,Number of different Advertising asset types in the LSOA,List of all the different Advertising asset types in the LSOA,Most common advert size in the LSOA,Number of different advert sizes in the LSOA,Number of different advertised product types in the LSOA,List of all the different Advertised product types in the LSOA,Number of different Products advertised in the LSOA,Most common Brand advertised in the LSOA,Number of different Brand advertised in the LSOA,List of all the different Brand advertised in the LSOA,Number of Products advertised with a price in the LSOA,Total price of Products advertised in the LSOA,Mean price of Products advertised in the LSOA,"Number of Products  with Fruit, Veg and Nut measure","Average percentage of products made up of fruit, vegetables and/or nuts across adverts in the LSOA",Count of adverts with a NPM status of fail,Count of adverts with a NPM status of pass,Count of adverts compliant with proposed healthy advertising policy restrictions,Count of adverts non-compliant with proposed healthy advertising policy restrictions
0,E01011264,Leeds 011A,Leeds 011A,639527.9994215,4810.389311353414,13915,5,Leeds 011A,E08000035,Leeds,20.525,13915,5,0.088,18238,6,0.101,12439,4,25.959,10336,4,0.284,11839,4,0.303,11894,4,14.376,23793,8,33.43,6985,3,0.111,18121,6,0.076,24075,8,0.595,7681,3,0.319,13855,5,0.261,11340,4,-2.158,26521,9,0.845,5201,2,0.054,14415,5,1252,188,653,411,665.0,23567,8026,16234,17466,9923,9146,17228,E,32843,7136,8,3,5,6,4,3,6,3,2.0065,1.354,2.1525,1.61625,1.195,0.439120934,1.3425,2.1525,2.2975,1.12125,1.5275,13.027405,1.6450115,11.8843275,11622,6534,18034,8971,7387,20099,3752,22536,28911,12433,29463,35339,38720,31510,27,15,43,21,17,48,8,54,69,29,70,85,92,75,-0.6965907557506356,-0.6936955322739479,0.024680259928170207,0.9289283599032495,8408,5887,20931,35587,21,15,51,86,16.668591829439784,13557,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E01011265,Leeds 009A,Leeds 009A,531107.8333665,7145.348756258967,20368,7,Leeds 009A,E08000035,Leeds,13.602,20368,7,0.08,19551,6,0.058,21967,7,4.069,28454,9,0.077,14842,5,0.5,9072,3,5.053,32019,10,34.148,6612,3,0.084,21653,7,0.113,18251,6,-0.677,26240,8,0.181,28713,9,-1.306,31503,10,-1.216,21914,7,0.921,4494,2,-0.114,17248,6,1788,321,999,468,1007.0,30425,20547,18356,16054,17684,8695,19554,E,32843,17984,10,7,6,5,6,3,6,6,1.5124,1.4124,1.0724,1.1745,6.5925,0.298628688,0.4263,6.3623,1.4576,0.605,1.1696,11.6484025,1.33244275,11.420985,6955,7087,5053,4712,3460,36664,31400,18790,22154,11095,11446,39445,40011,40407,16,16,12,11,8,87,75,45,53,26,27,95,95,97,-1.1377890498422647,0.9251615488484051,-0.224270895101641,1.148543062507586,3551,39054,16168,37560,9,94,39,91,30.68929991421775,35588,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E01011266,Leeds 008A,Leeds 008A,2527055.779688,8081.106719461806,29666,10,Leeds 008A,E08000035,Leeds,5.808,29666,10,0.021,32142,10,0.026,31521,10,1.014,32006,10,-1.496,31688,10,-0.093,18034,6,25.164,10949,4,21.344,14298,5,0.023,31655,10,0.023,32542,10,-1.891,32654,10,0.159,30213,10,0.849,4492,2,-1.781,24796,8,0.401,10528,4,-0.194,18531,6,2381,483,1431,467,1443.5,17962,4647,26601,31732,9123,9053,30014,E,32843,27460,6,2,9,10,3,3,10,9,7.4755,4.9017,4.1748,3.5129,10.7436,0.475592494,4.3404,11.7987,4.3404,4.3404,7.0052,9.6764835,1.1417302,11.033355,34597,29753,31853,22488,16749,13809,39059,13164,16793,9906,6607,13161,18085,13920,82,71,76,53,40,33,93,31,40,23,15,31,43,33,0.4155028921582408,0.5423307223722633,-0.48077126290668915,-0.5199755929731074,29719,33158,11778,11060,72,80,29,27,19.422258378189532,19968,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,E01011267,Leeds 009B,Leeds 009B,450335.1826465,3586.9459220700523,9111,3,Leeds 009B,E08000035,Leeds,27.863,9111,3,0.153,10261,4,0.116,10152,4,30.854,8237,3,0.708,6802,3,0.79,5533,2,15.901,21807,7,28.91,9428,3,0.222,8589,3,0.164,12833,4,0.812,5360,2,0.331,12644,4,0.212,12097,4,-1.19,21748,7,0.721,6552,2,-0.1,16979,6,1489,316,780,393,783.0,24646,8771,8458,10829,12092,8462,13314,E,32843,3825,8,3,3,4,4,3,5,2,3.19875,2.5761,2.4296,1.4729,6.07125,0.490847245,2.1401,4.8422,1.5286,1.48375,3.2048,11.7209275,1.37742075,11.661595,20999,17516,20828,7577,3785,11517,29685,18992,23220,11789,14861,31974,31145,24350,50,41,49,18,9,27,71,45,55,28,35,77,74,58,-0.48852895071375924,-0.01872150662110056,-0.18207886652049673,0.3078856083037725,11613,19615,16917,26454,28,48,41,64,14.022266909203335,7482,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,E01011268,Leeds 010A,Leeds 010A,395583.9931135,4211.386482151817,6082,2,Leeds 010A,E08000035,Leeds,34.444,6082,2,0.161,9579,3,0.152,6401,2,42.247,4810,2,1.007,4180,2,0.638,7227,3,17.646,19595,6,38.323,4878,2,0.176,11867,4,0.215,8996,3,0.92,4376,2,0.422,5419,2,0.046,14872,5,0.005,15169,5,1.021,3716,2,0.078,14035,5,1358,270,823,265,823.5,20576,13085,8458,8978,9694,8777,9763,E,32843,2191,7,4,3,3,3,3,3,1,2.8725,2.8275,2.8636,1.525,4.09,0.488828003,2.5425,2.955,2.0525,1.1575,2.895,11.7209275,1.37742075,11.661595,18733,19428,24597,8088,6212,11814,20881,18992,23220,11789,23639,34985,32577,21621,44,46,58,19,14,28,50,45,55,28,56,84,78,52,-0.3788124357731283,-0.28634718410340043,-0.18207886652049673,0.4937716509788072,13583,13298,16917,29730,33,32,41,72,14.324216619017623,8133,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,E01011269,Leeds 011B,Leeds 011B,629407.036892,7515.559448440759,13768,5,Leeds 011B,E08000035,Leeds,20.713,13768,5,0.098,16676,6,0.079,16494,6,20.124,13699,5,0.428,9974,4,0.625,7392,3,8.728,29747,10,40.038,4252,2,0.092,20453,7,0.155,13604,5,0.339,10892,4,0.295,16566,6,-0.492,23958,8,-1.015,20824,7,1.029,3659,2,0.248,11460,4,1545,270,835,440,838.0,27109,18300,8458,14804,15618,9721,14365,E,32843,9086,9,6,3,5,5,3,5,3,1.504,0.9565,1.7415,1.504,1.97,0.388134599,0.585,1.7415,1.92,0.4275,0.8075,13.89785,1.76251725,12.0483375,6876,3101,13237,7886,5559,28656,8457,24831,31229,12959,32881,40415,41073,39338,16,7,31,18,13,68,20,59,74,31,78,97,98,94,-0.9776312219091234,-0.17282591738793224,0.1385212698626704,1.5968556270113239,5019,15809,23135,40214,13,38,56,97,25.34436120424721,30486,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,E01011270,Leeds 008B,Leeds 008B,7912289.470729,17427.956133831005,31787,10,Leeds 008B,E08000035,Leeds,3.658,31787,10,0.016,32540,10,0.022,32004,10,1.92,30984,10,-1.074,29397,9,-0.784,27139,9,21.382,15039,5,12.804,21227,7,0.018,32075,10,0.016,32745,10,-1.237,30882,10,0.171,29493,9,0.785,5028,2,-3.782,31175,10,-0.103,18074,6,-0.271,19826,7,1578,288,748,542,763.75,6087,1773,23134,32732,5575,11114,18537,E,32843,22756,2,1,8,10,2,4,6,7,4.18725,5.45205,4.43195,4.1834,4.9825,0.579594552,3.7595,10.2904,3.95475,3.7595,4.43195,8.966420578947368,1.070834847368421,10.816826842105264,26419,31265,32668,25339,15126,4287,25168,11119,14520,9222,7494,15598,25889,15794,63,74,78,60,36,10,60,26,34,22,17,37,62,37,0.34283629392381365,-0.5023829123663912,-0.5944455126388134,-0.3104502944747999,28422,8998,10040,14481,69,22,25,35,11.761510548877203,3491,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,E01011271,Leeds 009C,Leeds 009C,596978.5902975,6094.910180497096,29068,9,Leeds 009C,E08000035,Leeds,6.327,29068,9,0.046,27234,9,0.034,29665,10,3.217,29488,9,-0.879,27797,9,0.069,15604,5,12.312,26216,8,23.484,12794,4,0.065,24791,8,0.051,28914,9,-0.969,29139,9,0.191,27878,9,0.133,13387,5,-2.293,27041,9,0.461,9721,3,-0.06,16285,5,2165,452,1193,520,1206.5,24134,7937,23134,25656,9402,9473,28843,E,32843,20888,8,3,8,8,3,3,9,7,1.4823,2.0808,1.26105,1.1178,5.5125,0.396868393,1.1146,7.3147,1.96365,1.1121,1.26105,11.4736125,1.32259975,11.3176275,6671,13323,7339,4211,5764,27326,27525,18304,21894,10784,10031,35412,39688,34000,15,31,17,10,13,65,65,43,52,25,24,85,95,81,-0.9522661363742237,0.4048876054290339,-0.24694354309274102,0.7190919069885058,5279,30310,15720,33117,13,73,38,80,19.492536977888044,20125,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,E01011272,Leeds 009D,Leeds 009D,561286.597873,4259.32529364934,29185,9,Leeds 009D,E08000035,Leeds,6.216,29185,9,0.028,31073,10,0.037,28736,9,5.686,26516,9,-0.442,22666,7,-0.16,19045,6,18.859,18040,6,14.29,19869,7,0.041,28922,9,0.027,32275,10,-0.757,27161,9,0.23,24046,8,0.606,6751,3,-3.001,29483,9,-0.015,16712,6,-0.221,19012,6,1481,307,787,387,796.75,27227,4420,23134,30148,10962,9876,29172,E,32843,26046,9,2,8,10,4,4,9,8,3.2755,3.14725,2.8572,1.9125,5.571,0.399816334,2.191,4.667,2.91995,2.60985,3.4206,11.25456,1.2992146666666666,11.4032,21484,21612,24554,11624,10384,26869,27763,17689,21322,11028,15443,22328,30187,23985,51,51,58,27,24,64,66,42,51,26,37,53,72,57,-0.1919628433014545,0.3979179668727788,-0.2649165469164055,0.13444931700247875,17229,30157,15406,23112,42,73,37,56,17.349619988112142,15195,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,E01011273,Leeds 010B,Leeds 010B,427005.1352325,4169.898397529128,19375,6,Leeds 010B,E08000035,Leeds,14.569,19375,6,0.079,19671,6,0.068,19396,6,8.99,22866,7,0.209,12938,4,0.215,13259,5,9.306,29246,9,33.338,7035,3,0.08,22297,7,0.136,15480,5,-0.416,22701,7,0.252,21475,7,-0.214,19495,6,-1.68,24311,8,0.822,5462,2,0.122,13292,5,1449,251,842,356,842.0,21656,9400,18356,18794,15710,9663,20344,E,32843,10163,7,3,6,6,5,3,7,4,1.785,1.785,2.0925,0.991,3.4575,0.368284494,0.991,2.0925,1.2925,1.3125,1.8075,11.81361,1.4169576666666668,11.69444,9553,10588,17360,3131,2674,31289,17384,19240,24166,11897,29964,33565,37605,35317,22,25,41,7,6,74,41,46,57,28,71,80,90,84,-0.9156502266113641,0.23160963299452897,-0.1553166059828718,0.9358271291799061,5641,26147,17421,35668,14,63,42,86,20.090190791811438,21382,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
